name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	name2
NM_032291	chr1	+	66999824	67210768	67000041	67208778	25	SGIP1
NM_001145277	chr1	+	16767166	16786584	16767256	16785491	7	NECAP2
NM_013943	chr1	+	25071759	25170815	25072044	25167428	6	CLIC4
NM_018090	chr1	+	16767166	16786584	16767256	16785385	8	NECAP2
NM_001145278	chr1	+	16767166	16786584	16767256	16785385	8	NECAP2
NM_032785	chr1	-	48998526	50489626	48999844	50489468	14	AGBL4
NM_052998	chr1	+	33546713	33586132	33547850	33585783	12	AZIN2
NM_001080397	chr1	+	8378144	8404227	8378168	8404073	9	SLC45A1
NR_126031	chr1	+	33547778	33567493	33567493	33567493	8	AZIN2
NM_001293562	chr1	+	33546713	33586132	33547850	33585783	11	AZIN2
NM_001301823	chr1	+	33546729	33586132	33557656	33585783	9	AZIN2
NM_001301825	chr1	+	33547778	33586132	33547850	33585783	9	AZIN2
NM_001301824	chr1	+	33546729	33586132	33557656	33585783	8	AZIN2
NM_001301826	chr1	+	33547778	33567493	33547850	33567493	8	AZIN2
NR_036634	chr1	-	92145899	92351836	92351836	92351836	18	TGFBR3
NM_001918	chr1	-	100652477	100715409	100661810	100715376	11	DBT
NM_001195684	chr1	-	92145899	92371559	92149295	92327088	18	TGFBR3
NM_001195683	chr1	-	92145899	92351836	92149295	92327088	17	TGFBR3
NM_003243	chr1	-	92145899	92351836	92149295	92327088	17	TGFBR3
NM_001001740	chr1	-	175913961	176176380	175914288	176176114	19	RFWD2
NM_030806	chr1	+	184356149	184598155	184446643	184588690	6	C1orf21
NM_001286644	chr1	-	175913961	176176380	175914288	176145087	18	RFWD2
NM_022457	chr1	-	175913961	176176380	175914288	176176114	20	RFWD2
NM_001303229	chr1	+	150980866	151008189	150998016	151006710	7	PRUNE
NM_001303242	chr1	+	150980866	151008189	150981108	151006710	7	PRUNE
NM_001303243	chr1	+	150980866	151008189	150991069	151006710	6	PRUNE
NM_021222	chr1	+	150980866	151008189	150981108	151006710	8	PRUNE
NR_130130	chr1	+	150980866	151008189	151008189	151008189	4	PRUNE
NR_130131	chr1	+	150980866	151008189	151008189	151008189	5	PRUNE
NR_130132	chr1	+	150980866	151008189	151008189	151008189	4	PRUNE
NR_130135	chr1	+	150980866	151008189	151008189	151008189	5	PRUNE
